,Title,Content,Url
0,B&B Verona Center,"B&B VERONA CENTRE

Piazza Martiri della Libertà, 4, Verona
www.bbveronacentro.it
The B&B Verona Centro is located at the foot of Castel San Pietro and the Roman Theatre, a few minutes walk from the beauties of the center of Verona. The rooms are comfortable and modern and every day it is possible to enjoy a rich international breakfast, with artisanal sweet and savory products: you will find small delicacies of fresh pastries, fruit salad with seasonal fruit, freshly baked hot croissants, and many typical local products.

",https://www.visitverona.net/visitverona/bb-verona-centro/
1,Arsenale Suites,"ARSENALE SUITES

Piazza Arsenale 6, Verona, Italy
www.arsenalesuites.com
In the historic center, a stone's throw from Castelvecchio, you can find this charming Art Nouveau-style Bed & Breakfast. The rooms are designed to offer a modern style thanks to the home automation system, with which you can access the functions via your smartphone. The gem of this structure that we recommend in the Top 5 is certainly the internal garden, a real corner of nature which you will have direct access to from every room and where you can enjoy a rich breakfast every morning. Important information also for animal lovers, this is a pet friendly structure, so bring your four-legged friends with you!

",https://www.visitverona.net/visitverona/arsenale-suites/
2,Castelvecchio,"Castelvecchio is a medieval fort located in the heart of Verona and currently used as the city's civic museum. Don't miss a romantic walk on its bridge, it will take you back to bygone eras. And if you have time we recommend a visit to the civic museum inside, in addition to numerous works of art you can discover truly evocative parts of the castle and enjoy a breathtaking view of the city!
The Scaligero bridge can be visited freely while the Castelvecchio museum respects the following opening hours:
on Mondays from 1.30pm to 7.30pm
from Tuesday to Sunday from 8.30 to 19.30
The ticket office closes at 6.45pm.
The Museum is closed on Monday mornings, the morning of January 1st and December 25th.
Full ticket prices €6.00
reduced ticket for groups (over 15 units), discounts, upper elderly people. 60: €4.50
reduced ticket for schools (from primary to secondary schools) and children (8-14 years, accompanied only): €1.00
full cumulative ticket for Castelvecchio/Maffeiano museums: €7.00
reduced cumulative ticket for Castelvecchio/Maffeiano museums: €5.00
free entry:
elderly people over the age of 65 residing in the Municipality of Verona
disabled people and their companions
con VeronaCard
From October to May, first Sunday of the month single rate: €1.00 (in the case of ongoing exhibitions, ordinary entry rates apply).
Corso Castelvecchio 2 – 37121 Verona
tel. +39 045 8062611
fax +39 045 8010729
[emailprotected]
museodicastelvecchio.comune.verona.it

",https://www.visitverona.net/visitverona/castelvecchio/
3,Scale of Reason,"The Scala della Ragione is part of the monumental complex of Palazzo della Ragione in Verona. Built with the typical red Veronese marble, the staircase immerses itself in the evocative space of the Old Market Courtyard. This staircase leads the public towards the large portal on the main floor of the Palace. It is one of the most typical stairs in the city, as well as one of the most visited and photographed places by visitors to Verona.
At the top of the staircase you can see the fresco by Giovanni Bevilacqua, which depicts the allegory of Verona among the Arts, it is located in the courtyard of the old market, between Piazza Erbe and Piazza dei Signori
Timetables:
The courtyard of the old market and the staircase are freely visible 24/7

",https://www.visitverona.net/visitverona/scala-della-ragione/
4,Gallery of Modern Art,"The Achille Forti Modern Art Gallery blossoms in a magical place in the historic center of Verona, the Palazzo della Ragione architectural complex: this includes the iconic Torre dei Lamberti and the Scala della Ragione, which after various restoration campaigns has finally become accessible again! Thanks to this magnificent gallery it is possible, for anyone who wishes, to reconstruct the history of Verona of the last 2 centuries. Lose yourself in history, beauty and art!
Hours and prices: open from Tuesday to Sunday from 11am to 7pm
closed on Mondays
entire
€4.00 + €0.40 online presale
€8.00 + €0.80 online presale
reduced (groups of over 15 people, students aged 14 to 30, over 60s, special agreements):
€2.50 + €0.25 online presale
school groups: €1.00
children 8-14 years (accompanied only): €1.00 + €0.10 online presale
cumulative Juliet's Tomb/Juliet's House/GAM
full price: €8.00 + €0.80 online presale
reduced: €6.00 ​​+ €0.60 online presale
free entry: over 65s resident in the Municipality of Verona, children up to 7 years old - people with disabilities and their companion - teachers accompanying school groups - with VeronaCard
Address: Cortile Mercato Vecchio, 6, 37121 Verona VR
Telephone: +39 045 800 1903

",https://www.visitverona.net/visitverona/galleria-arte-moderna/
5,Gardaland Sea Life,"Gardaland Sea Life is located in Via Derna, 4, in Castelnuovo del Garda (Vr), next to the Gardaland park, a stone's throw from Lake Garda.
Telephone: 045 644 9777
For prices and timetables consult the website: www.gardaland.it

",https://www.visitverona.net/visitverona/gardaland-sea-life/
6,Movieland,"Movieland is the first theme park built in Italy. Its theme is cinema, in fact, all the attractions are reminiscent of a film or TV series and to these are added numerous daily shows with actors and stuntmen linked to famous films. Inspired by the famous American Universal Studios parks, Movieland Park extends over an area of ​​over 100,000 m2 and offers more than 20 attractions, including rides, live shows and virtual experiences, set among the film sets of the most famous Hollywood films.
Telephone: 045 696 9900
For prices and times, consult the website: www.movieland.it

",https://www.visitverona.net/visitverona/movieland/
7,Sigurtà Park,"Are you looking for an enchanted place in which to lose yourself not far from the city? The Giardino Sigurtà park in Valeggio sul Mincio will be right for you. Open from March to November, you can visit it on foot, by bike, by renting an electric Golf Car or on the panoramic train. Don't miss the hedge maze, the Tulipanomania in March and April and the avenue of thirty thousand roses in May as well as the spectacular water lilies, lotus flowers, water hibiscus and papyrus that color the bodies of water.
Telephone: 045 637 1033
For prices and timetables consult the website: www.sigurta.it

",https://www.visitverona.net/visitverona/parco-sigurta/
8,Sirmione spa,"The Sirmione Spa has beneficial effects on the skin, muscular and skeletal system, its waters are classified as salt-bromine-iodine and flow at a temperature of around 69°C. A pearl in the heart of Lake Garda and the ideal place for your well-being.
Telephone: 030 916044
For prices and timetables consult the website: www.termedisirmione.com

",https://www.visitverona.net/visitverona/terme-di-sirmione/
9,Parco Natura Viva,"Parco Natura Viva is one of the largest and most visited zoos in Italy. It is one of the main centers for the conservation of animal species in danger of extinction and is divided into two sections: the safari zoo to visit with your own car and the wildlife park with a pedestrian path inside a forest with centuries-old oak trees.
Telephone: 045 717 0113
For prices and timetables, consult the website: www.parconaturaviva.it

",https://www.visitverona.net/visitverona/parco-natura-viva/
