,Title,Content,Url
0,B&B Verona Centro,"B&B VERONA CENTRO

Piazza Martiri della Libertà, 4, Verona
www.bbveronacentro.it
Il B&B Verona Centro si trova ai piedi di Castel San Pietro e Teatro Romano, a pochi minuti a piedi dalle bellezze del centro di Verona. Le camere sono confortevoli e moderne ed ogni giorno è possibile gustare una ricchissima colazione internazionale, con prodotti dolci e salati artigianali: troverete piccole bontà di pasticceria fresca, macedonia con frutta di stagione, brioche calde appena sfornate, e tanti prodotti tipici del territorio.
",https://www.visitverona.net/visitverona/bb-verona-centro/
1,Arsenale Suites,"ARSENALE SUITES

Piazza Arsenale 6, Verona, Italy
www.arsenalesuites.com
In pieno centro storico a due passi da Castelvecchio potete trovare questo grazioso Bed & Breakfast dallo stile Liberty. Le camere sono concepite per offrire uno stile moderno grazie all’impianto di domotica, con il quale si accede alle funzioni tramite il proprio smartphone. La chicca di questa struttura che vi consigliamo nella Top 5 è sicuramente il giardino interno, un vero e proprio angolo di natura su cui si avrà accesso direttamente da ogni camera e nel quale si potrà godere ogni mattina di una ricca colazione. Un’informazione importante anche per gli amanti degli animali, questa è una struttura è pet friendly, perciò portate pure con voi i vostri amici a quattro zampe!
",https://www.visitverona.net/visitverona/arsenale-suites/
2,Castelvecchio,"Castelvecchio è un fortino medievale situato nel cuore di Verona ed attualmente adibito a museo civico della città. Non perdetevi una romantica passeggiata sul suo ponte, vi riporterà ad epoche passate. E se avrete tempo vi consigliamo la visita al museo civico al suo interno, oltre a numerose opere d’arte potrete scoprire parti del castello davvero suggestive e godere di un panorama mozzafiato sulla città! 
Il ponte scaligero si può visitare liberamente mentre il museo di Castelvecchio rispetta i seguenti orari:
il lunedì dalle 13.30 alle 19.30
dal martedì alla domenica dalle 8.30 alle 19.30
La biglietteria chiude alle 18.45.
Il Museo è chiuso il lunedì mattina, la mattina del 1° gennaio e il 25 dicembre.
Prezzi biglietto intero € 6,00
biglietto ridotto gruppi (sup. 15 unità), agevolazioni, anziani sup. 60: € 4,50
biglietto ridotto scuole (dalle primarie alle secondarie di secondo grado) e ragazzi (8-14 anni, solo accompagnati): € 1,00
biglietto cumulativo musei Castelvecchio/Maffeiano intero: € 7,00
biglietto cumulativo musei Castelvecchio/Maffeiano ridotto: € 5,00
ingresso gratuito:
anziani con età superiore a 65 anni residenti nel Comune di Verona
portatori di handicap e loro accompagnatori
con VeronaCard
Da ottobre a maggio, prima domenica del mese tariffa unica: € 1,00 (in caso di mostre in corso si applicano le tariffe ordinarie di ingresso).
corso Castelvecchio 2 – 37121 Verona
tel. +39 045 8062611
fax +39 045 8010729
[emailprotected]
museodicastelvecchio.comune.verona.it
",https://www.visitverona.net/visitverona/castelvecchio/
3,Scala della Ragione,"La Scala della Ragione fa parte del complesso monumentale di Palazzo della Ragione di Verona. Costruita con il tipico marmo rosso veronese, la scala si immerge nello spazio suggestivo del Cortile del Mercato Vecchio. Questa scala conduce il pubblico verso il grande portale del piano nobile del Palazzo. Si tratta di una delle scale più tipiche della città, così come uno dei luoghi più percorsi e fotografati dai visitatori di Verona. 
In cima alla scala si può vedere l’ affresco di Giovanni Bevilacqua, che raffigura l’allegoria di Verona tra le Arti, si trova nel Cortile del mercato vecchio, tra Piazza Erbe e Piazza dei Signori
Orari:
Il cortile del mercato vecchio e la scala sono visibili liberamente 24/24
",https://www.visitverona.net/visitverona/scala-della-ragione/
4,Galleria d'Arte Moderna,"La Galleria d’arte Moderna Achille Forti sboccia in un luogo magico del centro storico Veronese, il complesso architettonico Palazzo della Ragione: questo comprende l’iconica Torre dei Lamberti e la Scala della Ragione, che dopo varie campagne di restauro è tornata finalmente percorribile! Grazie a questa magnifica galleria è possibile, per chiunque lo voglia, ricostruire la storia di Verona degli ultimi 2 secoli. Perdetevi tra storia, bellezza ed arte!
Orari e prezzi: aperto dal martedì alla domenica dalle 11 alle 19
chiuso il lunedì
intero
€ 4,00 + € 0,40 prevendita online
€ 8,00 + € 0,80 prevendita online
ridotto (gruppi oltre 15 persone, studenti dai 14 ai 30 anni, over 60, apposite convenzioni):
€ 2,50 + € 0,25 prevendita online
scolaresche: € 1,00
ragazzi 8-14 anni (solo accompagnati): € 1,00 + € 0,10 prevendita online
cumulativo Tomba di Giulietta/Casa di Giulietta/GAM
intero: € 8,00 + € 0,80 prevendita online
ridotto: € 6,00 + € 0,60 prevendita online
ingresso gratuito: over 65 anni residenti nel Comune di Verona, bambini fino a 7 anni – persone con disabilità e loro accompagnatore – insegnanti accompagnatori di scolaresche – con VeronaCard
Indirizzo: Cortile Mercato Vecchio, 6, 37121 Verona VR
Telefono: +39 045 800 1903
",https://www.visitverona.net/visitverona/galleria-arte-moderna/
5,Gardaland Sea Life,"Gardaland Sea Life, si trova in Via Derna, 4, a Castelnuovo del Garda (Vr), accanto al parco Gardaland, a due passi dal Lago di Garda. 
Telefono: 045 644 9777
Per prezzi e orari consultare il sito internet: www.gardaland.it
",https://www.visitverona.net/visitverona/gardaland-sea-life/
6,Movieland,"Movieland è il primo parco a tema costruito in italia. Il suo tema appunto, è il cinema, infatti, tutte le attrazioni ricordano un film o un telefilm e a queste si aggiungono numerosi spettacoli giornalieri con attori e stuntman legati a film famosi. Ispirato ai celebri parchi Universal Studios americani, Movieland Park si estende su una superficie di oltre 100.000 mq e offre più di 20 attrazioni, tra giostre, spettacoli dal vivo ed esperienze virtuali, ambientate tra i set cinematografici dei films più famosi di Hollywood. 
Telefono: 045 696 9900
Per prezzi e orari consultare il sito internet: www.movieland.it
",https://www.visitverona.net/visitverona/movieland/
7,Parco Sigurtà,"Cerchi un posto incantato nel quale perderti non lontano dalla città? Il parco Giardino Sigurtà a Valeggio sul Mincio, farà al caso tuo. Aperto da marzo a novembre, è possibile visitarlo a piedi, in bici, noleggiando una Golf Car elettrica o sul trenino panoramico. Da non perdere il labirinto di siepi, la Tulipanomania di marzo e aprile e il viale di trentamila rose a maggio nonché le spettacolari ninfee, i fiori di loto, ibischi d’acqua e papiri che colorano gli specchi d’acqua. 
Telefono: 045 637 1033
Per prezzi e orari consultare il sito internet: www.sigurta.it
",https://www.visitverona.net/visitverona/parco-sigurta/
8,Terme di Sirmione,"Le Terme di Sirmione, hanno effetti benefici sulla pelle, sull’apparato muscolare e su quello scheletrico, le sue acque sono classificate come salso-bromo-iodiche e sgorgano a una temperatura di circa 69°C. Una perla nel cuore del lago di Garda e il luogo ideale per il tuo benessere. 
Telefono: 030 916044
Per prezzi e orari consultare il sito internet: www.termedisirmione.com
",https://www.visitverona.net/visitverona/terme-di-sirmione/
9,Parco Natura Viva,"Parco Natura Viva è uno dei giardini zoologici più grandi e visitati d’Italia. Si tratta di uno dei principali centri per la conservazione delle specie animali in pericolo di estinzione ed è suddivisa in due sezioni: lo zoo safari da visitare con la propria auto e il parco faunistico con percorso pedonale all’interno di un bosco con querce secolari. 
Telefono: 045 717 0113
Per prezzi e orari consultare il sito internet: www.parconaturaviva.it
",https://www.visitverona.net/visitverona/parco-natura-viva/
