,Title,Content,Url
0,THE 5 GREENEST PARKS OF VERONA CITY,"THE 5 GREENEST PARKS OF VERONA CITY

Tired of the city smog? No problem... our city is also full of green areas!
We show you some...

The Adige Park a few hundred meters from the heart of the city. It extends in an uncontaminated green area between Porto San Pancrazio and Cà del Bue from which it is possible to reach Zevio via the cycle path. Perfect for quiet Sunday walks, it was recognized in 2005 as a ""Protected natural area of ​​local interest"", did you know?
Parco San Giacomo, a green area located in the Borgo Roma district of Verona South, full of routes and paths for those who love walking but also excellent for practicing sports thanks to the outdoor training equipment.
The Parco delle Colombare (in photo), the city's historic park located on the Torricelle, offers a splendid panoramic view of Verona, also accessible to your four-legged friends.
The Lazzaretto in the Porto San Pancrazio district, designed by the architect Michele Sanmicheli and completed in 1628. Its name comes from the use made of it in those times, in fact, during the epidemic, it was the place of hospitalization and confinement of plague patients. It then became a warehouse for war material, today its ruins remain in a green area and it is still easily visitable.
Last but not least, the Park of the Walls and Forts near the Verona Porta Nuova station which follows the shape of the defensive walls called ""Bastions"" and the city fortifications and offers suggestive historical routes.

Which of these will you visit first?


",https://www.visitverona.net/i-5-parchi-piu-verdi-di-verona-citta/
1,THE 4 BEST WALKS TO DO IN VERONA,"THE 4 BEST WALKS TO DO IN VERONA

In addition to the classic walk through the streets of the center of Verona, we also offer you alternative routes that are simple and suitable for everyone but equally pleasant to discover the city from a different point of view!

A relaxing walk in the Lungadige Attiraglio, the cycle/pedestrian path that runs along the Adige river and is approximately 5 km long. Also ideal for a jog!
The wellness route along ""La Vecchia Ferrovia"" located between the districts of Santa Lucia and Golosine, so called due to the presence of the old tracks of the disused railway junction. It is a cycle-pedestrian path very popular with the citizens of Verona, especially during rush hour. You can go to this green area with your family or with children and a stroller.
The Park of the Walls and Forts of Verona, a route approximately 9 km long that can be completed in half a day!
Walk along the walls of Verona in San Zeno in Monte, starting from Porta Vescovo and arriving at the Church of San Zeno in Monte. Overall 850 meters long, it is excellent for a walk in the open air! About halfway along the route you will come across the Alto San Nazaro Park full of greenery.


",https://www.visitverona.net/le-4-migliori-passeggiate-da-fare-a-verona/
2,THE 5 ATTRACTIONS OF THE CHRISTMAS MARKETS,"THE 5 ATTRACTIONS OF THE CHRISTMAS MARKETS

The Christmas Markets in Verona are a must not to be missed. The colored lights, the scent of typical sweets and mulled wine, the Christmas atmosphere that you can breathe while walking through the streets of the centre, make Verona even more evocative and romantic. But what are the attractions not to be missed?
Here are the five stops not to be missed on your Christmas markets tour:
STAGE NUMBER 1
The first activity we recommend you do as a couple, or with your friends and families, is absolutely ice skating on the Winter Area rink set up in Piazza Sacco e Vanzetti, at the foot of the Arsenale.
A fun activity for both adults and children. You will be able to skate with Castelvecchio in the background, in a suggestive setting of the city of Verona. Also in the same area there will also be a small Christmas village with hot chocolate and sweets to warm you up.
STAGE NUMBER 2
If you have children you can't miss a visit to Santa's House. What better way to let him experience the magic of Christmas?
You will find the iconic wooden house illuminated and set up next to the Loggia Fra Giocondo in the Courtyard.
STAGE NUMBER 3
What are Christmas Markets without Christmas delicacies?!
A stop in Piazza dei Signori is a must, to warm yourself up with a delicious hot chocolate or mulled wine, accompanied by savory and sweet pretzels or other typical German and local dishes.
But the sweet surprises don't end there... from 10th to 13th December you can find in Piazza Brà, at the foot of the Arena, the colorful stalls of Santa Lucia, full of sweets and handicraft products, perfect for making some small gifts to put under the 'tree.
STAGE NUMBER 4
Are you a lover of Christmas and nativity scenes? Then stay in Piazza Brà and experience the magic with the Nativity Scenes from the World exhibition.
The exhibition is in the Guinness Book of Records, with its 400 nativity scenes from all over the world, in an exhibition space set up in the majestic Palazzo della Gran Guardia, right in front of the Verona Arena.
STEP 5
Last but not least we recommend you participate in the famous Santa Claus Run, the Melegatti Christmas Run on December 18th!
It is a 5 km route between the evocative walls and monuments of Verona, in which dressed as Santa Claus, you parade together sharing an exciting moment, toasting Christmas and the new year.


",https://www.visitverona.net/le-5-attrazioni-dei-mercatini-di-natale/
3,OPENING OF THE CHRISTMAS MARKETS IN VERONA 2022,"OPENING OF THE CHRISTMAS MARKETS IN VERONA 2022

Today, Saturday 19 November 2022, the fourteenth edition of the Christmas Markets in Verona was inaugurated. The opening was marked with the iconic cutting of the ribbon, at 11.30 am in the famous via della Costa in Piazza Erbe, by the councilor for economic activity of the municipality of Verona Italo Sandrini.
Also present for the occasion were the MEP Paolo Borchia, the senator Aurora Floridia, the deputies Marco Padovani, Flavio Tosi and Matteo Gelmetti, the regional councilors Enrico Corsi and Alberto Bozza, the president of the province Manuel Scalzotto, the municipal councilor of the Municipality of Verona Nicolò Zavarise, the president of Confcommercio Paola Arena, the president of Confesercenti Paolo Bissoli, the vice presidents of Confesercenti Alex Camara and Fabio Ferrari, the Director of Confesercenti Alessandro Torluccio.
The entire Verona Social team, responsible for communication of the Christmas Markets in Verona and Don Ambrogio, the famous Tiktok priest, were present to promote the event.
The Verona Markets will remain open, as per tradition, until 26 December.
Also this year the Christmas markets in Verona are associated with the markets of the same name in Nuremberg, the Christkindlmarkt.
Over 100 exhibitors, with typical wooden houses, decorate the city of Verona and create a fairy-tale atmosphere.
The places to go to visit the markets are: Piazza dei Signori, Cortile Mercato Vecchio, Cortile del Tribunal, Loggia del Cortile del Tribunal, Via della Costa, Loggia Vecchia and Piazza Sacco e Vanzetti (Arsenale).
The times for this edition are:
From Sunday to Thursday from 11am to 9pm,
Friday and Saturday from 10am to 11pm,
08 December from 10am to 11pm,
December 24th from 10am to 5pm,
December 25th from 4pm to 11pm,
December 26th from 11am to 6pm.
The event enjoys the co-organization of the Municipality of Verona and the patronage of numerous bodies including the Veneto Region, the Province of Verona, Confesercenti and Confcommercio Verona.
We are waiting for you at the most magical Christmas Markets ever!


",https://www.visitverona.net/inaugurazione-mercatini-di-natale-a-verona-2022/
4,VERONA MARATHON,"DISCOVER WITH US THE 21ST EDITION OF THE MOST IMPORTANT SPORTING EVENT IN
VERONA!
There is very little left until the start of the twenty-first edition of the Verona Marathon with its 3 unmissable events: the 42km Hoka Verona Marathon, the 21km Zero Wind Cangrande Half Marathon and the 10km Avesani Last.
Over 7 thousand runners and athletes ready to participate from all over Italy and beyond, with the desire to share the emotions of sport by running within the evocative walls of Verona.
There are many reasons to participate and run the Verona Marathon: from the beauty of the three routes, completely closed to traffic and entirely flat, to the spectacular start and finish in the splendid setting of Piazza Brà under the eyes of the Arena, to the possibility for those watching, to enjoy the wonderful views that Verona offers us and the UNESCO heritage monuments. Precisely because sport belongs to everyone, the Last 10Km Marathon initiative also allows families and children to participate, for an exciting day of sharing.
The Verona Marathon is an event not only of sport but also of solidarity and social ethics which embraces various charitable projects, we will tell you about one in particular: the story of the nurse and athlete Matteo Berton and his non-profit association Il Filo Continuo . Every year, for 5 years, Matteo Berton has run the Marathon in the city of Romeo and Juliet together with a boy in a wheelchair, to raise funds to support the Inclusive Garden project, which is committed to creating green spaces easily accessible by people with disabilities to improve their quality of life.
We at Verona Social have this cause at heart and if you also want to contribute to the creation of a green oasis dedicated to the involvement of disabled people in many more inclusion and sharing activities, visit the link and participate in the donation: https://www.retedeldono .it/attivitive/filo-continuo/matteo.berton/corri-con-noi


",https://www.visitverona.net/verona-marathon/
5,5 TYPICAL VERONA DISHES NOT TO BE MISSED,"One of the many ways to discover a place is to eat typical local dishes. Experiencing a place, understanding it, discovering it also means trying the flavors that characterize it and which are loved so much by the locals. This is why we absolutely want to recommend 5 typical dishes of the Veronese tradition to taste during your visit to Verona.

1- Amarone risotto

Thanks to its delicious flavour, this risotto cooked with the fine Valpolicella wine is one of the favorite dishes of residents and visitors to the city. It is prepared with ingredients that come exclusively from the Veronese area: Vialone Nano rice, Amarone della Valpolicella and grated Monte Veronese cheese.

2 – Tasty risotto

A typical dish of Veronese and Veneto cuisine, this risotto is made of minced, salted and peppered pork. The meaning of the word ""tastasal"" is precisely ""to taste the salt"" in Venetian dialect, and in fact this recipe was prepared to check that the meat used for sausages and salami was properly salted. Very popular in the kitchens of the Veronese, there are various versions, all equally delicious.

3 – Lesso and Pearà

Among the typical dishes of Verona, one of the best known is Lesso con la Pearà, that is, boiled meat and vegetables served with a puree of grated bread flavored with plenty of pepper. It seems like a humble and poor dish but in reality there is a royal story behind it... It is said that the first to cook the iconic sauce was the court chef of Alboin, king of the Lombards, for the queen, who was torn apart by pain she had fallen into depression with the intention of starving herself to death. Thanks to this special sauce with great properties and taste, the queen regains strength and vigor, and since then the dish has become iconic and traditional in Verona.

4 – Horse foot

According to ancient stories, the recipe for this famous typical Veronese dish has precise historical origins. At the end of the battle fought between the King of Italy Odoacer and the King of the Ostrogoths Theodoric, thousands of horses remained on the ground, which the people exhausted by hunger were authorized to recover to stock up. To have long-lasting use of the large quantity of meat, it was cut and left to macerate in red wine, with an abundance of spices and vegetables. The subsequent slow cooking led to the discovery of this exquisite dish, whose recipe passed down from generation to generation has survived to this day.

5 – Rose cake

In the ranking we also offer you this traditional Veronese dessert. The soft Torta Delle Rose is a splendid typical dessert, made up of sheets of pastry in the shape of soft and buttery rose buds. From its Veronese origins, it is said to have been born in honor of Queen Margherita. A traditional leavened product perfect for every occasion, absolutely worth trying


",https://www.visitverona.net/5-piatti-tipici-veronesi-da-non-perdere/
6,The 10 most instagrammable locations in Verona,"Photography lovers and Instagramers have a predilection for taking postcards of the most beautiful places that then go viral. We mere mortals ask ourselves ""but will it be as beautiful as in the photo?"". The curiosity aroused by these breathtaking shots has pushed the growth of so-called social tourism: looking for the Instagrammable location, the best angle and the perfect moment to take dream photos...
Because a trip isn't the same without some souvenir photos.
So we thought of you, with this little guide to the 10 most instagrammable locations in Verona, ready for use.

1 – PANORAMA FROM CASTEL SAN PIETRO

Seeing the most spectacular sunset in Verona is priceless. All you need to do is climb the steps in front of Ponte Pietra, and next to the Roman Theatre, to be able to admire the panorama of the whole city that emerges from behind the cypress trees, guardians of Castel San Pietro. In the panoramic square every corner is splendid for a perfect photo of Verona, which with those crazy colors there will seem like a painting!

2 – VERONA ARENA

The symbol of Verona: the thousand-year-old Arena is certainly the most admired and photographed building in the city, both from inside and from the beautiful Piazza Brà which surrounds and enhances it. For a super Instagrammable glimpse we suggest you walk from the square towards Via Mazzini, you will then find a heart-shaped sculpture, more precisely a bench. This is the artistic installation ""Forever Love"" which also features the initials of Romeo and Juliet, I would say perfect for a romantic pic on one of the most impressive monuments in Verona.

3 – HERBS SQUARE

The beating heart of Verona: the long and narrow Piazza delle Erbe is a marvel to admire! It was the Forum of Roman Verona: therefore the market has been held here for 2000 years; first just vegetables (hence the name), now everything. Its stalls, medieval buildings and frescoes, the splendid central fountain and the Venetian columns in the background are perfect for taking wonderful photos!

4 – VIEW ON PIAZZA ERBE FROM THE TORRE DEI LAMBERTI

From the top of the tallest building in Verona, with its 368 steps, you have a crazy view over the whole of Verona. The Torre dei Lamberti is absolutely an unmissable place for a breathtaking photo. Below you can admire Piazza delle Erbe, very elegant from this point of view, and which during the Christmas markets offers a truly unique view: the stalls are arranged in the shape of a heart... More Instagrammable than that!!!

5 – JULIET'S BALCONY

The other symbol of Verona is Juliet's House! The famous balcony of this small courtyard in via Cappello is super instagrammable from every point of view. Directly from the courtyard, going up onto the balcony or from an upper terrace for a panoramic view of the entire courtyard, in short, indulge yourself!!

6 – GIUSTI GARDEN

A hidden green corner of Verona, where the city becomes nature. The Giusti Garden is a wonderful garden that absolutely deserves a place in the Top Instagrammable locations. You will feel a bit like Alice in Wonderland among paths, statues, labyrinths and caves. And by climbing to the highest part, passing an English garden, you can photograph an incredible glimpse of the city.

7- VIA SOTTORIVA

The most beautiful street in all of Verona, the most authentic, romantic, evocative, with a slightly vintage air and also instagrammable. So come by and let us know if you too want to buy a camera. The best part about Instagram? Under the arcades.

8 – SCALIGER BRIDGE

Just enter the courtyard and walk across the bridge, climbing the steps on the sides to admire fantastic views of Verona between the brick battlements which act as the ideal frame for a perfect photo. Then in the evening, with the city lights coming on and the sky touching all shades of blue, it's truly a spectacle!

9 – CASTELVECCHIO

The panoramic external walkways of the Castle can be accessed through its internal civic museum. The view is really worth it! Walk along its narrow suspended corridors to have a wonderful view of the Scaligero Bridge and the Adige.

10 – STONE BRIDGE

The walk on Ponte Pietra is one of the absolutely essential things for anyone visiting Verona. It has a timeless beauty whichever way you look at it. In the right background you can admire the wonderful colorful and green houses that overlook the Adige, the perfect setting for an unforgettable photo. To enjoy an even more suggestive view, we suggest you cross the bridge, with the center of Verona behind you, and go down the steps that will lead you to the bank of the Adige. From here you can take a wonderful photo.


",https://www.visitverona.net/le-10-location-piu-instagrammabili-di-verona/
7,The 5 Best Pokè in Verona,"Poke or Poke, whether it is male or female we are not sure, what is certain is how perfect it is as an idea for a lunch break or even as a quick dinner when we don't feel like cooking. So we recommend the 5 best places in Verona where you can find crazy ingredients for a special Pokè moment.

1- POKE HOUSE

In the historic center of Verona, between Castelvecchio and Porta Borsari, you can take a break in this colorful Californian-style venue. A healthy and tasty temptation that you can give in to fill up on energy.
You can choose the Pokè Bowl you prefer from those proposed or compose it yourself with the ingredients that inspire you most. The result? A super colourful, healthy and balanced lunch. Even gluten free!

2 – POKE EXCUSES

In Corso Portanuova, a stone's throw from Piazza Brà, you will find the creative venue Poke Scuse, you cannot fail to notice it, the lights and furnishings will invite you to come in and sit down to enjoy your lunch break with an exquisite Pokè.
Also in this place you can choose to compose your own bowl or choose one of the proposals on the menu. An absolutely must-do stop!!

3 – POKE GARDAEN

A stone's throw from the city center you will find this small green oasis where you can choose whether to consume your Pokè on site or choose the takeaway service. The place is dedicated to nature, in fact 80% of the plants that decorate it are cared for daily by the staff, giving this pleasant healthy atmosphere. So are their Pokè bowl ingredients. A very interesting menu, absolutely worth trying!

4 – MACHA CAFE’

You can find this place inside the Adigeo shopping center. A very nice location in Japanese style, dedicated to healthy food. Here you can find various proposals, from bowls with the ingredients of your choice to make up the Pokè, to savory and colorful pancakes, to burgers of all kinds up to sweets and other delicacies.

5 – HAWAII POKE

Finally, we recommend this place, located in the Lungadige in the University area, very popular with students. The place is really small, there are no seats for on-site consumption so we advise you to choose it if you want a delicious Pokè to take away. The quality of the ingredients is good as is the size and quantity, so if you're very hungry it's perfect!


",https://www.visitverona.net/i-5-migliori-poke-di-verona/
8,The 4 Panoramic Rooftops of Verona,"Are you dreaming of an aperitif at sunset overlooking the wonders of Verona?
Looking at the city from a different perspective makes it even more fascinating, and Verona seen from above, with a breathtaking sunset as a backdrop and a good cocktail in hand will give you an unforgettable moment.
We have selected here for you the 4 most scenic terraces overlooking Verona, where you can enjoy a moment of relaxation, for a unique experience.

ARENA SKYLOUNGE TERRACE

On the fifth floor of the Hotel Milano & SPA, a stone's throw from the Arena, you will find this wonderful rooftop, a spectacular terrace with a panoramic view of the illuminated Arena, and observe the Verona skyline. A unique and unforgettable experience. You can taste a cocktail from the expert barman's proposals or a few glasses of champagne.

TERRACE HOTEL DUE TORRI

The Due Torri Hotel also offers external guests the opportunity to enjoy its panoramic terrace, the Gourmet Grill Restaurant, a 300 m2 space suspended about 30 meters above the ground, a stone's throw from Sant'Anastasia. A spectacular view that ranges from the Torre dei Lamberti to the Duomo, from Castel San Pietro to the Torricelle, up to the gentle curves and waters of the Adige River.
At the Gourmet Grill Restaurant you can enjoy an aperitif at sunset or decide to treat yourself to a dinner with a view. A show.

KING THEODORIC

Climbing the steps from the Roman Theater to Castel San Pietro you can find this romantic venue with a breathtaking view of the Adige.
Re Teodorico is the meeting between modern Italian cuisine and a dream location: a panoramic garden to admire Verona from above while enjoying a culinary break. The restaurant offers a wide choice of proposals, from the cafeteria, to the wine and cocktail bar, up to the pizzeria and other chef's dishes.

BUILDING VIEW

You can enjoy Shakespeare's city in 360 degrees from where you have never seen it before. Take a seat on the terrace of the Infinity Bar of the 5 Star Superior Vista Palazzo. You will feel like you are in a green oasis in the center of Verona, a charming yet private environment.
Treat yourself to a chic experience by trying one of the cocktails in the Signature List selection: a show of tastes and flavors for every type of palate.
Close your eyes and dream.


",https://www.visitverona.net/i-4-rooftop-panoramici-di-verona/
9,What to do in one day in Verona..,"What to do in one day in Verona..

In Verona you can breathe a romantic air in every corner of the centre. Its elegance, the richness of history and culture, and its liveliness will literally make you dream. A city on a human scale, where you can stroll without haste and get lost among the wonderful alleys. The historic center of Verona is a real wedding favor and can be easily visited even with little time available, because the various attractions are quite close to each other and can be easily reached on foot. We therefore recommend this one-day itinerary which touches all the main points of the city:
1- VERONA ARENA

The 1st stop we propose on this itinerary is a visit to the symbolic monument of Verona, the Arena. The Roman amphitheater is located in one of the most beautiful and largest squares in Verona, Piazza Brà. You will be amazed by its majesty and its timeless charm will leave you breathless. You can visit the Arena inside by booking your ticket online or at the ticket office, or by consulting the calendar of shows and concerts for an experience to enjoy in the evening. In any case you will feel transported into a magical and evocative atmosphere.
2 – CASTELVECCHIO

As a 2nd stop we take you through the alleys next to the Arena to let you discover another gem of Verona, Castelvecchio with its splendid Scaligero Bridge. A walk that you absolutely must not miss, you will be struck by the architecture and grandeur of this building, as well as the various views that it will give you over the Lungodige. Castelvecchio can be visited inside through the Museum, which in addition to the entire collection of historical art and sculpture, will show you corners of the Castle also with panoramic views of the entire city.
3 – BAG HOLDER

Continuing from Castelvecchio along Corso Cavour, we arrive at the 3rd stop on our itinerary, Porta Borsari. This monument is a Roman-era gate that served as the main city entrance, from which the Via Postumia entered Verona. The current name has medieval origins and derives from the bursarii, the customs officials who collected the bishop's duties in this place.
4 – VIA MAZZINI

And now upon entering the city we will let you take a look at the glittering shop windows until you stroll along one of the most historic and famous shopping streets in Verona: Via Giuseppe Mazzini.
5 – JULIET'S HOUSE

After some souvenirs from Verona we continue the journey with another unmissable stop, the visit to Juliet's House. Iconic place of the city, characterized by a romantic and evocative atmosphere. Inside the square you will find the statue of Juliet, about which we will immediately reveal a secret: it is said that touching one of her breasts brings good luck!! With your nose in the air you can admire the famous balcony of Shakespeare's work, and by purchasing a ticket to visit the interior of the building you can also look out. (We remind you that on the first Sunday of every month you can visit all the museums and attractions of Verona for 1 euro)
6 – ROMAN THEATER

Are you feeling peckish? On the route from Juliet's House to the next and sixth stop on our itinerary you will find various bars, restaurants, ice cream parlors, pizzerias and other refreshment points. If you are looking for something in particular, consult our articles about it: Where to eat vegan in Verona, Where to eat in romantic places in Verona. Here we are at our 6th stop: the Roman Theatre, the oldest monument in Verona together with Ponte Pietra. For archeology enthusiasts we recommend a visit to the Archaeological Museum of the Theatre, where the Roman history of the place and other sites in the historic center is told. To be able to admire the entire Theater from a better view, we recommend that you climb the steps of Vicolo Botte and also enjoy the view of the Lungo Adige. An absolute marvel.
7 – FUNICULAR

To continue to the next stop, Castel San Pietro, we offer you two options: you can continue from Vicolo Botte, climbing the steps until you reach Piazzale del Castello, a very suggestive walk but a little challenging due to the number of steps; the second option is to take the Via Fontanelle Santo Stefano Funicular which takes you directly to the panoramic terrace of the Castle, which is also very suggestive. To you the choice.
8 – SAN PIETRO CASTLE

This stage is a marvel, and will leave you absolutely breathless. Piazzale Castel San Pietro is in our opinion the most exciting panoramic point of the City of Love that you can see. A place where you can get lost in the immense beauty of Verona. You can walk, take a refreshment break on the panoramic terrace of the restaurant that you will find in the square and recharge your batteries for the next stages.
9 – STONE BRIDGE

Going down the staircase that leads from the Castle to the city you will find yourself in front of another ancient jewel of Verona, Ponte Pietra. Crossing it you can admire the city from both sides of the Adige river, both stunning to look at. On one side the hill with the Roman Theater and the Castle, and on the other the colorful buildings of the premises overlooking the Adige are the frame of a wonderful painted picture of Verona.
10 – PIAZZA DELLERBE

As the last stop on this itinerary we propose one of the liveliest and most frequented places by the Veronese, Piazza delle Erbe. This beautiful square blossoms in the heart of the city where you can find the city market every day, surrounded by historic bars and restaurants where all of Verona loves to enjoy an aperitif in company. We hope you discover all the beauty of Verona, and for other advice consult our other articles: Where to sleep in Verona …


",https://www.visitverona.net/cosa-fare-in-un-giorno-a-verona/
